Freq[#], X[m], Y[m], V[m], Z[m], Log(Abs)[*], Log(Im)[*], Log(Re)[*], Phase[*], Con[mS/m], Ro[Om*m], PPM, Lat[*], Lon[*], GNSS altitude, UTC
1, 0.000, 0.000, 0.000, -10, 2.03128e-07, 1.67051e-07, -1.15563e-07, -55.3251, 101.763, 9.82677, 388.927, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:22:117
2, 0.000, 0.000, 0.000, -9.28571, 2.82046e-07, 2.23123e-07, -1.72528e-07, -52.2872, 91.4524, 10.9346, 518.475, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:22:117
3, 0.000, 0.000, 0.000, -8.57143, 4.09689e-07, 2.88547e-07, -2.90837e-07, -44.7735, 82.106, 12.1794, 737.9, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:22:117
4, 0.000, 0.000, 0.000, -7.85714, 6.27019e-07, 4.10853e-07, -4.73659e-07, -40.9384, 73.0765, 13.6843, 1104.63, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:22:117
5, 0.000, 0.000, 0.000, -7.14286, 1.04694e-06, 6.49122e-07, -8.21421e-07, -38.3173, 66.2795, 15.0876, 1821.69, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:22:117
6, 0.000, 0.000, 0.000, -6.42857, 1.95129e-06, 1.1784e-06, -1.55528e-06, -37.1503, 59.4258, 16.8277, 3351.35, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:22:117
7, 0.000, 0.000, 0.000, -5.71429, 2.85119e-06, 1.52545e-06, -2.40879e-06, -32.3454, 57.4971, 17.3922, 4918.72, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:22:117
8, 0.000, 0.000, 0.000, -5, 4.09326e-06, 2.44568e-06, -3.28229e-06, -36.6903, 52.0889, 19.198, 6968.63, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:22:117
9, 0.000, 0.000, 0.000, -4.28571, 6.39121e-06, 3.75152e-06, -5.17433e-06, -35.943, 48.4401, 20.6441, 11019.2, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:22:117
10, 0.000, 0.000, 0.000, -3.57143, 1.0661e-05, 6.36294e-06, -8.55398e-06, -36.644, 44.0484, 22.7023, 18502.6, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:22:117
11, 0.000, 0.000, 0.000, -2.85714, 1.90769e-05, 1.19478e-05, -1.4872e-05, -38.7775, 39.2243, 25.4944, 33645.2, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:22:117
12, 0.000, 0.000, 0.000, -2.14286, 3.70918e-05, 2.58277e-05, -2.6622e-05, -44.1325, 32.6944, 30.5863, 66823.7, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:22:117
13, 0.000, 0.000, 0.000, -1.42857, 7.60081e-05, 6.35002e-05, -4.17726e-05, -56.6617, 25.0496, 39.9209, 155367, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:22:117
14, 0.000, 0.000, 0.000, -0.714286, 0.000174497, 0.000165016, -5.67348e-05, -71.0263, 18.3478, 54.5024, 396888, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:22:117
1, 0.000, 0.000, 0.000, -10, 2.0731e-07, 1.72745e-07, -1.14614e-07, -56.4363, 103.848, 9.62948, 397.622, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:23:868
2, 0.000, 0.000, 0.000, -9.28571, 2.82538e-07, 2.26318e-07, -1.69139e-07, -53.2274, 91.6113, 10.9157, 520.317, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:23:868
3, 0.000, 0.000, 0.000, -8.57143, 4.10432e-07, 2.89157e-07, -2.91278e-07, -44.7906, 82.254, 12.1575, 740.271, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:23:868
4, 0.000, 0.000, 0.000, -7.85714, 6.27181e-07, 4.13754e-07, -4.71343e-07, -41.2772, 73.0953, 13.6808, 1105.97, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:23:868
5, 0.000, 0.000, 0.000, -7.14286, 1.05448e-06, 6.66294e-07, -8.17303e-07, -39.1881, 66.7527, 14.9807, 1835.46, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:23:868
6, 0.000, 0.000, 0.000, -6.42857, 1.94574e-06, 1.18e-06, -1.5471e-06, -37.3334, 59.2585, 16.8752, 3344.74, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:23:868
7, 0.000, 0.000, 0.000, -5.71429, 2.84675e-06, 1.51502e-06, -2.41012e-06, -32.1539, 57.4087, 17.419, 4914.1, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:23:868
8, 0.000, 0.000, 0.000, -5, 4.12039e-06, 2.45489e-06, -3.30924e-06, -36.5691, 52.429, 19.0734, 7023.17, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:23:868
9, 0.000, 0.000, 0.000, -4.28571, 6.42007e-06, 3.79083e-06, -5.18141e-06, -36.19, 48.655, 20.5529, 11072.7, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:23:868
10, 0.000, 0.000, 0.000, -3.57143, 1.0686e-05, 6.40646e-06, -8.55268e-06, -36.8354, 44.1494, 22.6504, 18553, 46.54861500, 40.29339000, 0, 2021.07.23 11:36:23:868
