Номер точки,"0-30_Содержание гумуса, %",0-10_рН,10-20_рН,20-30_рН,ABS e.m.f. F8,ABS e.m.f. F9,ABS e.m.f. F10,ABS e.m.f. F11,ABS e.m.f. F12,ABS e.m.f. F13,ABS e.m.f. F14,0-10_Влаж (%),10-20 _Влаж (%),20-30_Влаж (%),30-40_Влаж (%),40-50_Влаж (%),50-60_Влаж (%),60-70_Влаж (%),70-80_Влаж (%),80-90_Влаж (%),90-100_Влаж (%),"Запас продуктивной влаги в слое 0-20 см, мм",,"Запас продуктивной влаги в слое 0-100 см, мм",,lat,long
1,3.02,7.58,7.78,8.29,29.876623,32.076072,35.722938,40.973959,51.06486,67.852005,86.059385,23.3,25.1,22.6,16.5,16.5,16.3,16.2,16,15.6,14.4,25.6,,36.9,,46.5495815,40.29490284
2,3.21,8.06,8.12,8.2,30.702558,32.69329,36.040952,41.055786,51.066417,68.509641,84.440532,23.9,21.2,16.9,17.3,16.9,17,16.5,16.5,16.1,16.3,21.9,,32.3,,46.55001342,40.29678451
3,2.81,8.26,8.34,8.09,26.122176,28.186239,30.53083,34.094851,41.23904,52.876053,68.782045,23.8,18,18.4,18.6,19.2,18.4,19.3,18,17.4,16.3,18,,42.8,,46.5513309,40.294935
4,3,7.46,8.07,7.9,25.296788,27.196456,29.984883,34.017641,41.169244,54.216371,70.11455,27.5,21.7,19.7,18.5,18.8,18.4,17.9,18.2,18.5,17.9,26.6,,54.5,,46.55128095,40.29682083
5,3.21,7.94,8.13,7.96,21.276991,22.627776,25.05428,27.788565,32.576023,41.15122,52.024369,26.2,24.4,18.3,17.9,18.9,19.6,20.1,20.2,19.5,19,28.1,,62.8,,46.55229068,40.2943909
6,3.11,7.98,8.06,8.02,23.373022,24.751715,26.793405,28.981484,33.577854,42.558018,56.054498,23.8,17.8,18.6,19.2,20.4,18.9,19,17.6,17.2,16.4,17.8,,44.6,,46.55225589,40.29615282
7,3.3,7.55,7.81,7.86,24.157882,25.856361,27.09046,30.012058,34.502289,44.386389,55.686582,23.1,17.1,18.1,18.6,17.8,17.4,17.7,17.2,17.3,16.4,16.2,,35,,46.55309293,40.29741437
8,3.1,8.05,8,8.08,29.716997,31.545511,34.726335,38.938864,47.001564,61.485927,73.852649,18.7,17.1,19.1,18,17.9,17.6,17.1,17.7,16.9,16.3,11.2,,29.7,,46.55406125,40.29502918
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
